Asset Event Count (by Type),,,
Shows number of events per event type and asset,,,
Report Parameters,,,
StartTimeFilter: 01/11/2017 08:36:00 GMT,,,
EndTimeFilter: 16/11/2017 08:36:00 GMT,,,
Language: English,,,
Asset,,Event Type,Occurrences
QAT 45415,,Start Moving,122
QAT 45415,,Idle End,1
QAT 45415,,Idle Start,1
QAT 45415,,Ignition On,32
QAT 45415,,Tag In,30
QAT 45415,,Power Up,3
QAT 45415,Count: 13,,Sum: 1132
QAT 45424,,,
QAT 45424,,External Power Loss,9
QAT 45424,,Tag Out,32
QAT 45424,,Journey Summary,31
QAT 45424,,Stop Moving,120
QAT 45424,,Ignition Off,31
QAT 45424,,Position Report,536
QAT 45424,,Start Moving,120
QAT 45424,,CAN Periodic,279
QAT 45424,,Heartbeat,16
QAT 45424,,Power Up,7
QAT 45424,,Ignition On,30
QAT 45424,,Tag In,31
QAT 45424,,External Power Restore,8
QAT 45424,,Idle End,1
QAT 45424,,Idle Start,1
QAT 45424,Count: 15,,Sum: 1252
QAT-144476,,,
QAT-144476,,Position Report,1164
QAT-144476,,Start Moving,292
QAT-144476,,CAN Periodic,421
QAT-144476,,Stop Moving,291
QAT-144476,,Heartbeat,36
QAT-144476,,Ignition On,115
QAT-144476,,Journey Summary,112
QAT-144476,,Ignition Off,114
QAT-144476,,Power Up,11
QAT-144476,,External Power Restore,20
QAT-144476,,External Power Loss,20
QAT-144476,,Tag Out,37
QAT-144476,,Tag In,36
QAT-144476,,Driving Duration Violation,1
QAT-144476,,Idle End,1
QAT-144476,,Idle Start,1
QAT-144476,Count: 16,,Sum: 2672
RW-Test,,,
Grand Totals,,,
,Count: 723,,Sum: 55537
