Asset Event History,,,,,,,,
Lists the event history within the specified period for the selected assets,,,,,,,,
Report Parameters,,,,,,,,
StartTimeFilter: 01/12/2017 00:01:00 GMT,,,,,,,,
EndTimeFilter: 06/12/2017 05:23:00 GMT,,,,,,,,
"SelectedEventTypes: CAN Periodic,Command Response,Digital Input 8 Off,Digital Input 8 On,Driving Duration Violation,External Power Loss,External Power Restore,Geofence Entry,Geofence Exit,Heartbeat,Idle End,Idle Start,Ignition Off,Ignition On,Journey Periodic,Journey Summary,Normal Mode On,Overspeed End,Overspeed Start,Poll Response,Position Report,Power Up,Service Mode On,Start Moving,Stop Moving,Tag In,Tag Out,Terminal Connected,Terminal Disconnected,Towing",,,,,,,,
Timezone: GMT,,,,,,,,
GeoReferenceSystem: Global,,,,,,,,
Language: English,,,,,,,,
Asset,Event,Event Type,Event Time,Position,Position URL,Odometer,Speed,Geo Reference
AD 1/63222,Position Report,Position Report,05/12/2017 05:46:57 GMT,"24.336500øN, 54.474201øE","24.336500øN, 54.474201øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,Position Report,Position Report,05/12/2017 05:44:25 GMT,"24.336599øN, 54.474201øE","24.336599øN, 54.474201øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,Position Report,Position Report,05/12/2017 05:43:27 GMT,"24.336599øN, 54.474098øE","24.336599øN, 54.474098øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,Position Report,Position Report,05/12/2017 05:43:25 GMT,"24.336599øN, 54.474098øE","24.336599øN, 54.474098øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,Position Report,Position Report,05/12/2017 05:42:25 GMT,"24.336599øN, 54.474201øE","24.336599øN, 54.474201øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,CAN Periodic,CAN Periodic,05/12/2017 05:40:19 GMT,"24.336599øN, 54.474201øE","24.336599øN, 54.474201øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,Position Report,Position Report,05/12/2017 05:39:53 GMT,"24.336500øN, 54.474201øE","24.336500øN, 54.474201øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,Position Report,Position Report,05/12/2017 05:29:41 GMT,"24.336399øN, 54.474300øE","24.336399øN, 54.474300øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,CAN Periodic,CAN Periodic,05/12/2017 05:25:21 GMT,"24.336399øN, 54.474201øE","24.336399øN, 54.474201øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63222,CAN Periodic,CAN Periodic,05/12/2017 05:10:21 GMT,"24.336599øN, 54.474300øE","24.336599øN, 54.474300øE",1025306,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63222,Count: 27,,Range: 01/12/2017 00:03:04 GMT to 06/12/2017 05:22:42 GMT,,,,,
AD 1/63236,,,,,,,,
AD 1/63236,Heartbeat,Heartbeat,05/12/2017 08:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
